R_version	name	version	date_time	hash	binary_location
4.3.0	googledrive	2.1.0	2023-06-05T17:11:52Z	1fdf44886e0554dc57187239a2c855a2	/cloud/project/ds_2023/r_4_2_cache/library/googledrive/2.1.0/1fdf44886e0554dc57187239a2c855a2/googledrive
4.3.0	googlesheets4	1.1.0	2023-06-05T17:11:52Z	a20ebad51cc45def96caaa8f6ece6537	/cloud/project/ds_2023/r_4_2_cache/library/googlesheets4/1.1.0/a20ebad51cc45def96caaa8f6ece6537/googlesheets4
4.3.0	grDevices	4.3.0	2023-06-02T18:58:45Z	c6fe5287993998247d07b388269e8bfb	/cloud/project/ds_2023/r_4_2_cache/library/grDevices/4.3.0/c6fe5287993998247d07b388269e8bfb/grDevices
4.3.0	graphics	4.3.0	2023-06-02T18:58:46Z	5f57086f801ee66619ea36e6a85b59cf	/cloud/project/ds_2023/r_4_2_cache/library/graphics/4.3.0/5f57086f801ee66619ea36e6a85b59cf/graphics
4.3.0	grid	4.3.0	2023-06-02T18:58:46Z	0dfafbc311b568042842edde6cda81a1	/cloud/project/ds_2023/r_4_2_cache/library/grid/4.3.0/0dfafbc311b568042842edde6cda81a1/grid
4.3.0	gtable	0.3.3	2023-06-05T17:11:53Z	a2ca7385a2e241ccfca950b9a6bc65bf	/cloud/project/ds_2023/r_4_2_cache/library/gtable/0.3.3/a2ca7385a2e241ccfca950b9a6bc65bf/gtable
4.3.0	haven	2.5.2	2023-06-05T17:11:54Z	4e485380b57d8f5d4d4d2a10cedd1321	/cloud/project/ds_2023/r_4_2_cache/library/haven/2.5.2/4e485380b57d8f5d4d4d2a10cedd1321/haven
4.3.0	highr	0.10	2023-06-02T18:58:46Z	233f2a74522ea6959f946223a8c877c2	/cloud/project/ds_2023/r_4_2_cache/library/highr/0.10/233f2a74522ea6959f946223a8c877c2/highr
4.3.0	hms	1.1.3	2023-06-02T18:58:47Z	fb9dfd8c169b445b88b249b31971c88c	/cloud/project/ds_2023/r_4_2_cache/library/hms/1.1.3/fb9dfd8c169b445b88b249b31971c88c/hms
4.3.0	htmltools	0.5.5	2023-06-02T18:58:47Z	d418bd6f1843990524f42d915ba92ca9	/cloud/project/ds_2023/r_4_2_cache/library/htmltools/0.5.5/d418bd6f1843990524f42d915ba92ca9/htmltools
4.3.0	htmlwidgets	1.6.2	2023-06-02T18:58:48Z	dae4135a353a4194e47b01c08fcbcbaa	/cloud/project/ds_2023/r_4_2_cache/library/htmlwidgets/1.6.2/dae4135a353a4194e47b01c08fcbcbaa/htmlwidgets
4.3.0	httpuv	1.6.11	2023-06-02T18:58:49Z	346b3539ee16a2dc4b0376adf5a66dd7	/cloud/project/ds_2023/r_4_2_cache/library/httpuv/1.6.11/346b3539ee16a2dc4b0376adf5a66dd7/httpuv
4.3.0	httr	1.4.6	2023-06-02T18:58:49Z	64e1413484d4a673b644fa2b89762dc4	/cloud/project/ds_2023/r_4_2_cache/library/httr/1.4.6/64e1413484d4a673b644fa2b89762dc4/httr
4.3.0	httr2	0.2.3	2023-06-02T18:58:49Z	34e43a104450213a2f051a652845af94	/cloud/project/ds_2023/r_4_2_cache/library/httr2/0.2.3/34e43a104450213a2f051a652845af94/httr2
4.3.0	ids	1.0.1	2023-06-05T17:11:55Z	98163cc48685d94f2683b2fe6ba5f3ca	/cloud/project/ds_2023/r_4_2_cache/library/ids/1.0.1/98163cc48685d94f2683b2fe6ba5f3ca/ids
4.3.0	ini	0.3.1	2023-06-02T18:58:50Z	551a9f360cb99728216dcef81ee607f2	/cloud/project/ds_2023/r_4_2_cache/library/ini/0.3.1/551a9f360cb99728216dcef81ee607f2/ini
