name	hashes	dependencies
waldo	83c836b9dac9d704356c22798a724827	tibble
withr	973850a0de9769c390c1032e6d98c8c4	graphics
withr	973850a0de9769c390c1032e6d98c8c4	grDevices
withr	973850a0de9769c390c1032e6d98c8c4	stats
xfun	d65138f8d93666a8122c811ec3108428	stats
xfun	d65138f8d93666a8122c811ec3108428	tools
xml2	f48c6553755cb0db2f7873576b586bc4	methods
xopen	07925bdac81c3607afd68de5ba60df7f	processx
xtable	0a1bff59894eef59014d2e1acca3ca06	stats
xtable	0a1bff59894eef59014d2e1acca3ca06	utils
